题目ID,分区,原题号,总分,主类型,细分标签,Level,答案来源文件,答案来源成员,答案成员SHA256,审计状态,Task4处理结论,Joy审批
M2QD-DA-TRAIN-Q3,应试训练,TRAIN-Q3,4,极值与曲线性质,极小点,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q4,应试训练,TRAIN-Q4,6,极值与曲线性质,极大点,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q5,应试训练,TRAIN-Q5,4,最值与最优化,极大点,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q6,应试训练,TRAIN-Q6,4,最值与最优化,极小点；区间最值；端点比较,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q7,应试训练,TRAIN-Q7,6,极值与曲线性质,拐点；凹凸性,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q8,应试训练,TRAIN-Q8,6,极值与曲线性质,拐点；凹凸性,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q9,应试训练,TRAIN-Q9,3,极值与曲线性质,渐近线,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q10,应试训练,TRAIN-Q10,6,极值与曲线性质,渐近线；拐点；凹凸性,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q11,应试训练,TRAIN-Q11,8,极值与曲线性质,极大点；极小点；拐点；渐近线；曲线作图,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q12,应试训练,TRAIN-Q12,8,极值与曲线性质,极大点；极小点；拐点；渐近线；曲线作图,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q13,应试训练,TRAIN-Q13,3,变率,相关变化率；体积变化,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q14,应试训练,TRAIN-Q14,5,变率,相关变化率；面积变化；建立变量关系,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-PARTA-Q1,甲部特训,PARTA-Q1,4,切线与法线,已知切点求切线；隐函数求导,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q2,甲部特训,PARTA-Q2,4,切线与法线,与指定直线平行的切线；切点未知,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q3,甲部特训,PARTA-Q3,6,切线与法线,过指定点的切线；切点未知,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q4,甲部特训,PARTA-Q4,3,极值与曲线性质,极大点,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q5,甲部特训,PARTA-Q5,3,极值与曲线性质,极小点,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q6,甲部特训,PARTA-Q6,5,最值与最优化,区间最值；端点比较,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,补全最大值e^3及其取得点x=-1。,未批准
M2QD-DA-PARTA-Q7,甲部特训,PARTA-Q7,5,最值与最优化,区间最值；端点比较,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q8,甲部特训,PARTA-Q8,6,极值与曲线性质,拐点,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q9,甲部特训,PARTA-Q9,7,极值与曲线性质,极大点；极小点；渐近线,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q10,甲部特训,PARTA-Q10,6,极值与曲线性质,极大点；极小点；拐点；曲线作图,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q11,甲部特训,PARTA-Q11,7,极值与曲线性质,渐近线；拐点；曲线作图,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q12,甲部特训,PARTA-Q12,7,变率,相关变化率；几何量变化；面积变化；体积变化；建立变量关系,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q13,甲部特训,PARTA-Q13,4,极值与曲线性质,从基本原理求导；导数为正区间,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,补全基本原理差商推导，并加入两项精确标签。,未批准
M2QD-DA-PARTA-Q14,甲部特训,PARTA-Q14,5,极值与曲线性质,极小点,2,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q15,甲部特训,PARTA-Q15,8,极值与曲线性质,切点未知；拐点；凹凸性,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTA-Q16,甲部特训,PARTA-Q16,9,极值与曲线性质,渐近线；极小点；拐点,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,"确认(b)应求f'(x)，并补全拐点(-5,0)。",未批准
M2QD-DA-PARTA-Q17,甲部特训,PARTA-Q17,8,综合微分应用,相关变化率；面积变化；链式法则建模；建立变量关系；综合题目,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTB-Q1,乙部特训,PARTB-Q1,13,极值与曲线性质,驻点；极大点；极小点；一阶导数判别法；拐点；渐近线；曲线作图；综合题目,4,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTB-Q2,乙部特训,PARTB-Q2,14,极值与曲线性质,渐近线；曲线作图；综合题目,4,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTB-Q3,乙部特训,PARTB-Q3,13,极值与曲线性质,驻点；极大点；极小点；一阶导数判别法；拐点；渐近线；曲线作图；综合题目,4,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,采用正确函数标签并保留正确渐近线、极值点及草图信息。,未批准
M2QD-DA-PARTB-Q4,乙部特训,PARTB-Q4,13,变率,相关变化率；几何量变化；链式法则建模；隐函数求导；建立变量关系；综合题目,5,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTB-Q5,乙部特训,PARTB-Q5,12,综合微分应用,区间最值；几何最优化；相关变化率；面积变化；链式法则建模；建立变量关系；综合题目,5,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,Task 3已通过,未批准
M2QD-DA-PARTB-Q6,乙部特训,PARTB-Q6,13,综合微分应用,几何最优化；相关变化率；几何量变化；链式法则建模；建立变量关系；综合题目,5,微分应用乙部答案.mmd.zip,d6fb2fbd-e521-4477-bb10-ce3f58210ca8.mmd,07fc2301afd0be972275dfb9dd23aada19a327919e603017a8ab45b004cf546d,audit_passed,Task 3已通过,未批准
